Anio	PuntaIndio
1961	167.6
1962	146.9
1963	383.6
1964	242.2
1965	152.2
1966	187.3
1967	443.8
1968	217.3
1969	160.3
1970	168.2
1971	152
1972	326.5
1973	139.8
1974	91
1975	53.9
1976	181.6
1977	293
1978	207.3
1979	146
1980	334.5
1981	211
1982	284
1983	372.5
1984	250.5
1985	462
1986	347.5
1987	303.5
1988	244.6
1989	140.9
1990	576.6
1991	350.5
1992	179.5
1993	494
1994	132.7
1995	128.5
1996	256.5
1997	178
1998	188
1999	174.5
2000	216.7
2001	359
2002	298.9
2003	316.6
2004	266.5
2005	171
2006	177
2007	385
2008	106
2009	451.2
2010	246
2011	296.3
2012	384.5
2013	338
2014	452
2015	97
2016	171
2017	199
2018	318.6
2019	239.6
2020	196.8
2021	206.1
