Global Land and Ocean Temperature Anomalies, June-August
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1975,0.02
1976,-0.02
1977,0.20
1978,0.03
1979,0.24
1980,0.26
1981,0.29
1982,0.16
1983,0.32
1984,0.17
1985,0.14
1986,0.16
1987,0.40
1988,0.43
1989,0.30
1990,0.38
1991,0.44
1992,0.17
1993,0.25
1994,0.34
1995,0.48
1996,0.38
1997,0.48
1998,0.71
1999,0.37
2000,0.41
2001,0.55
2002,0.55
2003,0.57
2004,0.41
2005,0.63
2006,0.64
2007,0.58
2008,0.52
2009,0.69
2010,0.68
2011,0.69
2012,0.65
2013,0.66
2014,0.72
2015,0.82
2016,0.88
2017,0.82
2018,0.77
2019,0.91
2020,0.91
